State,ST,Region,2021YTD,2020,2019,2018,2017,2016,2015
Alabama,AL,Southern,0.175,0.233,0.155,0.174,0.157,0.137,0.142
Arizona,AZ,,0.301,0.413,0.219,0.12,0.11,0.091,0.114
Arkansas,AR,Central,0.21,0.237,0.156,0.164,0.146,0.131,0.133
California,CA,,0.491,0.604,0.525,0.438,0.407,0.408,0.395
Colorado,CO,,0.257,0.426,0.192,0.221,0.195,0.185,0.213
Connecticut,CT,Northeast,0.294,0.398,0.325,0.341,0.299,0.244,0.274
Delaware,DE,Northeast,0.261,0.358,0.125,0.102,0.082,0.058,0.113
District of Columbia,DC,,0.609,0.689,0.534,0.548,0.528,0.48,0.487
Florida,FL,Southern,0.248,0.282,0.173,0.187,0.179,0.15,0.149
Georgia,GA,Southern,0.225,0.268,0.197,0.193,0.183,0.179,0.15
Idaho,ID,,0.242,0.36,0.298,0.241,0.205,0.201,0.176
Illinois,IL,Central,0.337,0.391,0.265,0.241,0.172,0.168,0.191
Indiana,IN,Central,0.219,0.26,0.159,0.173,0.17,0.18,0.192
Iowa,IA,,0.319,0.355,0.207,0.212,0.231,0.224,0.247
Kansas,KS,,0.285,0.322,0.207,0.202,0.196,0.177,0.185
Kentucky,KY,Southern,0.23,0.261,0.203,0.206,0.165,0.162,0.17
Louisiana,LA,Central,0.206,0.281,0.173,0.196,0.174,0.16,0.175
Maine,ME,Northeast,0.318,0.38,0.229,0.242,0.216,0.201,0.205
Maryland,MD,Northeast,0.296,0.434,0.207,0.217,0.214,0.184,0.211
Massachusetts,MA,Northeast,0.33,0.455,0.362,0.354,0.289,0.23,0.246
Michigan,MI,Central,0.327,0.356,0.284,0.275,0.238,0.236,0.231
Minnesota,MN,,0.289,0.371,0.233,0.233,0.214,0.193,0.214
Mississippi,MS,Southern,0.181,0.236,0.156,0.182,0.152,0.135,0.132
Missouri,MO,,0.262,0.29,0.182,0.178,0.174,0.155,0.162
Montana,NT,,0.213,0.346,0.286,0.271,0.217,0.24,0.24
Nebraska,NE,,0.321,0.377,0.231,0.251,0.277,0.288,0.307
Nevada,NV,,0.283,0.441,0.295,0.209,0.204,0.212,0.204
New Hampshire,NH,Northeast,0.328,0.432,0.28,0.297,0.254,0.218,0.235
New Jersey,NJ,Northeast,0.281,0.377,0.247,0.268,0.235,0.211,0.214
New Mexico,NM,,0.242,0.33,0.212,0.242,0.225,0.179,0.19
New York,NY,Northeast,0.451,0.51,0.324,0.309,0.279,0.239,0.277
North Carolina,NC,Southern,0.207,0.276,0.179,0.184,0.167,0.14,0.136
North Dakota,ND,,0.377,0.453,0.356,0.372,0.315,0.297,0.323
Ohio,OH,,0.216,0.25,0.197,0.212,0.189,0.19,0.191
Oklahoma,OK,,0.283,0.304,0.213,0.228,0.213,0.221,0.245
Oregon,OR,,0.474,0.657,0.565,0.46,0.403,0.365,0.348
Pennsylvania,PA,Northeast,0.292,0.421,0.229,0.229,0.21,0.177,0.167
Rhode Island,RI,Northeast,0.245,0.372,0.257,0.301,0.254,0.2,0.196
South Carolina,SC,Southern,0.228,0.277,0.167,0.193,0.17,0.136,0.116
South Dakota,SD,,0.338,0.401,0.302,0.308,0.285,0.289,0.279
Tennessee,TN,Southern,0.254,0.281,0.194,0.198,0.177,0.151,0.147
Texas,TX,Central,0.178,0.213,0.157,0.164,0.165,0.14,0.151
Utah,UT,,0.271,0.38,0.308,0.213,0.197,0.19,0.188
Vermont,VT,Northeast,0.278,0.39,0.321,0.331,0.276,0.238,0.259
Virginia,VA,Southern,0.28,0.365,0.223,0.237,0.222,0.193,0.2
Washington,WA,,0.445,0.616,0.523,0.421,0.359,0.324,0.323
West Virginia,WV,Northeast,0.294,0.38,0.261,0.273,0.254,0.208,0.226
Wisconsin,WI,Central,0.244,0.286,0.219,0.223,0.197,0.178,0.211
Wyoming,WY,,0.274,0.421,0.339,0.299,0.241,0.236,0.262
